Reference area,Health status,TIME_PERIOD,OBS_VALUE
Germany,Good/very good health,2022,64.3
Slovenia,Good/very good health,2005,53.6
Slovenia,Good/very good health,2006,56.3
Slovenia,Good/very good health,2007,57.8
Slovenia,Good/very good health,2008,58.8
Slovenia,Good/very good health,2009,59.7
Slovenia,Good/very good health,2010,59.6
Slovenia,Good/very good health,2011,60.4
Slovenia,Good/very good health,2012,63.1
Slovenia,Good/very good health,2013,64.8
Slovenia,Good/very good health,2014,64.8
Slovenia,Good/very good health,2015,64.8
Slovenia,Good/very good health,2016,64.4
Slovenia,Good/very good health,2017,65.3
Slovenia,Good/very good health,2018,65.4
Slovenia,Good/very good health,2019,66.6
Slovenia,Good/very good health,2020,67.1
Slovenia,Good/very good health,2021,69.1
Slovenia,Good/very good health,2022,67.7
Colombia,Good/very good health,2018,80.6
Colombia,Good/very good health,2019,80.4
Romania,"Fair (not good, not bad) health",2008,22.8
Romania,"Fair (not good, not bad) health",2009,22.5
Romania,"Fair (not good, not bad) health",2010,21.8
Romania,"Fair (not good, not bad) health",2011,22.4
Romania,"Fair (not good, not bad) health",2012,21.6
Romania,"Fair (not good, not bad) health",2013,21.4
Romania,"Fair (not good, not bad) health",2014,21.6
Romania,"Fair (not good, not bad) health",2015,21.6
Romania,"Fair (not good, not bad) health",2016,22.3
Romania,"Fair (not good, not bad) health",2017,21.8
Romania,"Fair (not good, not bad) health",2018,22.3
Romania,"Fair (not good, not bad) health",2019,21.6
Romania,"Fair (not good, not bad) health",2020,19.7
Romania,"Fair (not good, not bad) health",2021,19.8
Romania,"Fair (not good, not bad) health",2022,20
Netherlands,"Fair (not good, not bad) health",2005,18.5
Netherlands,"Fair (not good, not bad) health",2006,18
Netherlands,"Fair (not good, not bad) health",2007,18.8
Netherlands,"Fair (not good, not bad) health",2008,17.4
Netherlands,"Fair (not good, not bad) health",2009,17.5
Netherlands,"Fair (not good, not bad) health",2010,17
Netherlands,"Fair (not good, not bad) health",2011,17.9
Netherlands,"Fair (not good, not bad) health",2012,18.6
Netherlands,"Fair (not good, not bad) health",2013,19.1
Netherlands,"Fair (not good, not bad) health",2014,17.2
Netherlands,"Fair (not good, not bad) health",2015,18.5
Netherlands,"Fair (not good, not bad) health",2016,19.2
Netherlands,"Fair (not good, not bad) health",2017,19.3
Netherlands,"Fair (not good, not bad) health",2018,19.7
Netherlands,"Fair (not good, not bad) health",2019,19.7
Netherlands,"Fair (not good, not bad) health",2020,17.6
Netherlands,"Fair (not good, not bad) health",2021,21.6
Netherlands,"Fair (not good, not bad) health",2022,23.4
Finland,"Fair (not good, not bad) health",2004,21.2
Finland,"Fair (not good, not bad) health",2005,21.4
Finland,"Fair (not good, not bad) health",2006,21.3
Finland,"Fair (not good, not bad) health",2007,23.4
Finland,"Fair (not good, not bad) health",2008,23.6
Finland,"Fair (not good, not bad) health",2009,23.7
Finland,"Fair (not good, not bad) health",2010,24.5
Finland,"Fair (not good, not bad) health",2011,23.7
Finland,"Fair (not good, not bad) health",2012,26.1
Finland,"Fair (not good, not bad) health",2013,28.7
Finland,"Fair (not good, not bad) health",2014,24.4
Finland,"Fair (not good, not bad) health",2015,24.4
Finland,"Fair (not good, not bad) health",2016,23.9
Finland,"Fair (not good, not bad) health",2017,24.4
Finland,"Fair (not good, not bad) health",2018,25.5
Finland,"Fair (not good, not bad) health",2019,26.1
Finland,"Fair (not good, not bad) health",2020,24.5
Finland,"Fair (not good, not bad) health",2021,23.8
Finland,"Fair (not good, not bad) health",2022,28.6
Czechia,Bad/very bad health,2005,13.1
Czechia,Bad/very bad health,2006,13.4
Czechia,Bad/very bad health,2007,12.4
Czechia,Bad/very bad health,2008,13
Czechia,Bad/very bad health,2009,12.7
Czechia,Bad/very bad health,2010,12.2
Czechia,Bad/very bad health,2011,12.6
Czechia,Bad/very bad health,2012,12.8
Czechia,Bad/very bad health,2013,12.8
Czechia,Bad/very bad health,2014,11.6
Czechia,Bad/very bad health,2015,11.1
Czechia,Bad/very bad health,2016,11.8
Czechia,Bad/very bad health,2017,11.1
Czechia,Bad/very bad health,2018,10.7
Czechia,Bad/very bad health,2019,10.4
Czechia,Bad/very bad health,2020,9.3
Czechia,Bad/very bad health,2021,8.6
Czechia,Bad/very bad health,2022,8.8
Netherlands,Good/very good health,2005,76.3
Netherlands,Good/very good health,2006,76.8
Netherlands,Good/very good health,2007,76.3
Netherlands,Good/very good health,2008,77.3
Netherlands,Good/very good health,2009,77.6
Netherlands,Good/very good health,2010,78
Netherlands,Good/very good health,2011,76.3
Netherlands,Good/very good health,2012,75.6
Netherlands,Good/very good health,2013,75.6
Netherlands,Good/very good health,2014,77.3
Netherlands,Good/very good health,2015,76.2
Netherlands,Good/very good health,2016,75.9
Netherlands,Good/very good health,2017,76.1
Netherlands,Good/very good health,2018,75.6
Netherlands,Good/very good health,2019,74.8
Netherlands,Good/very good health,2020,78
Netherlands,Good/very good health,2021,73.1
Netherlands,Good/very good health,2022,71.3
Belgium,"Fair (not good, not bad) health",2004,17.8
Belgium,"Fair (not good, not bad) health",2005,18.7
Belgium,"Fair (not good, not bad) health",2006,17.4
Belgium,"Fair (not good, not bad) health",2007,17.7
Belgium,"Fair (not good, not bad) health",2008,17.9
Belgium,"Fair (not good, not bad) health",2009,17.8
Belgium,"Fair (not good, not bad) health",2010,17.9
Belgium,"Fair (not good, not bad) health",2011,16.9
Belgium,"Fair (not good, not bad) health",2012,16.7
Belgium,"Fair (not good, not bad) health",2013,17.1
Belgium,"Fair (not good, not bad) health",2014,15.8
Belgium,"Fair (not good, not bad) health",2015,16
Belgium,"Fair (not good, not bad) health",2016,17
Belgium,"Fair (not good, not bad) health",2017,16.9
Belgium,"Fair (not good, not bad) health",2018,16.4
Belgium,"Fair (not good, not bad) health",2019,16.9
Belgium,"Fair (not good, not bad) health",2020,16.8
Belgium,"Fair (not good, not bad) health",2021,15.7
Belgium,"Fair (not good, not bad) health",2022,16.7
Türkiye,"Fair (not good, not bad) health",2006,21.9
Türkiye,"Fair (not good, not bad) health",2007,19.5
Türkiye,"Fair (not good, not bad) health",2008,20.2
Türkiye,"Fair (not good, not bad) health",2009,21.2
Türkiye,"Fair (not good, not bad) health",2010,20.3
Türkiye,"Fair (not good, not bad) health",2011,20.1
Türkiye,"Fair (not good, not bad) health",2012,19.3
Türkiye,"Fair (not good, not bad) health",2013,20.5
Türkiye,"Fair (not good, not bad) health",2014,20.1
Türkiye,"Fair (not good, not bad) health",2015,21.6
Türkiye,"Fair (not good, not bad) health",2016,21.3
Türkiye,"Fair (not good, not bad) health",2017,21.8
Türkiye,"Fair (not good, not bad) health",2018,22.5
Türkiye,"Fair (not good, not bad) health",2019,22.7
Türkiye,"Fair (not good, not bad) health",2020,22.2
Türkiye,"Fair (not good, not bad) health",2021,23.8
Romania,Good/very good health,2008,68.3
Romania,Good/very good health,2009,68.2
Romania,Good/very good health,2010,68.6
Romania,Good/very good health,2011,67.9
Romania,Good/very good health,2012,68.2
Romania,Good/very good health,2013,68.8
Romania,Good/very good health,2014,69.1
Romania,Good/very good health,2015,69.9
Romania,Good/very good health,2016,70.4
Romania,Good/very good health,2017,70.9
Romania,Good/very good health,2018,70.6
Romania,Good/very good health,2019,71.2
Romania,Good/very good health,2020,73
Romania,Good/very good health,2021,72.8
Romania,Good/very good health,2022,73.2
Spain,Bad/very bad health,2004,13.3
Spain,Bad/very bad health,2005,12.5
Spain,Bad/very bad health,2006,12.3
Spain,Bad/very bad health,2007,11.7
Spain,Bad/very bad health,2008,8
Spain,Bad/very bad health,2009,8.6
Spain,Bad/very bad health,2010,8.1
Spain,Bad/very bad health,2011,7.4
Spain,Bad/very bad health,2012,8.1
Spain,Bad/very bad health,2013,8.4
Spain,Bad/very bad health,2014,8.3
Spain,Bad/very bad health,2015,7.5
Spain,Bad/very bad health,2016,7
Spain,Bad/very bad health,2017,6.6
Spain,Bad/very bad health,2018,7.4
Spain,Bad/very bad health,2019,7.2
Spain,Bad/very bad health,2020,6.6
Spain,Bad/very bad health,2021,7.7
Spain,Bad/very bad health,2022,7.2
Ireland,Good/very good health,2004,82.8
Ireland,Good/very good health,2005,82.7
Ireland,Good/very good health,2006,83.1
Ireland,Good/very good health,2007,84
Ireland,Good/very good health,2008,84.3
Ireland,Good/very good health,2009,83.1
Ireland,Good/very good health,2010,82.8
Ireland,Good/very good health,2011,83.3
Ireland,Good/very good health,2012,82.8
Ireland,Good/very good health,2013,82
Ireland,Good/very good health,2014,82.7
Ireland,Good/very good health,2015,82.6
Ireland,Good/very good health,2016,82.9
Ireland,Good/very good health,2017,83.2
Ireland,Good/very good health,2018,84.1
Ireland,Good/very good health,2019,83.9
Ireland,Good/very good health,2020,83.7
Ireland,Good/very good health,2021,81.1
Ireland,Good/very good health,2022,80
Ireland,Bad/very bad health,2004,3.8
Ireland,Bad/very bad health,2005,3.7
Ireland,Bad/very bad health,2006,3.2
Ireland,Bad/very bad health,2007,2.6
Ireland,Bad/very bad health,2008,2.6
Ireland,Bad/very bad health,2009,2.8
Ireland,Bad/very bad health,2010,3.2
Ireland,Bad/very bad health,2011,2.9
Ireland,Bad/very bad health,2012,3
Ireland,Bad/very bad health,2013,3.7
Ireland,Bad/very bad health,2014,3.9
Ireland,Bad/very bad health,2015,3.8
Ireland,Bad/very bad health,2016,3.5
Ireland,Bad/very bad health,2017,3.4
Ireland,Bad/very bad health,2018,3.3
Ireland,Bad/very bad health,2019,3.2
Ireland,Bad/very bad health,2020,3.9
Ireland,Bad/very bad health,2021,5.2
Ireland,Bad/very bad health,2022,5.4
Costa Rica,Good/very good health,2018,70
Colombia,Bad/very bad health,2018,1.3
Colombia,Bad/very bad health,2019,1.3
Australia,"Fair (not good, not bad) health",2001,13.3
Australia,"Fair (not good, not bad) health",2004,11.4
Australia,"Fair (not good, not bad) health",2007,11
Australia,"Fair (not good, not bad) health",2011,10.7
Australia,"Fair (not good, not bad) health",2014,10.4
Australia,"Fair (not good, not bad) health",2017,11
United Kingdom,Good/very good health,2000,74.3
United Kingdom,Good/very good health,2001,74.3
United Kingdom,Good/very good health,2002,74.4
United Kingdom,Good/very good health,2003,74.5
United Kingdom,Good/very good health,2004,73.9
United Kingdom,Good/very good health,2005,74.8
United Kingdom,Good/very good health,2006,76.6
United Kingdom,Good/very good health,2007,77.4
United Kingdom,Good/very good health,2008,79.2
United Kingdom,Good/very good health,2009,78.2
United Kingdom,Good/very good health,2010,79.4
United Kingdom,Good/very good health,2011,77.5
United Kingdom,Good/very good health,2012,74.7
United Kingdom,Good/very good health,2013,73.7
United Kingdom,Good/very good health,2014,69.9
United Kingdom,Good/very good health,2015,69.8
United Kingdom,Good/very good health,2016,69
United Kingdom,Good/very good health,2017,74.8
United Kingdom,Good/very good health,2018,73.2
United Kingdom,Good/very good health,2019,72.9
Greece,Good/very good health,2004,77.7
Greece,Good/very good health,2005,77.4
Greece,Good/very good health,2006,76.7
Greece,Good/very good health,2007,76.6
Greece,Good/very good health,2008,76
Greece,Good/very good health,2009,75.3
Greece,Good/very good health,2010,75.5
Greece,Good/very good health,2011,76.4
Greece,Good/very good health,2012,74.9
Greece,Good/very good health,2013,73.9
Greece,Good/very good health,2014,73.5
Greece,Good/very good health,2015,74.4
Greece,Good/very good health,2016,73.9
Greece,Good/very good health,2017,74
Greece,Good/very good health,2018,76.2
Greece,Good/very good health,2019,79.1
Greece,Good/very good health,2020,78.4
Greece,Good/very good health,2021,78.2
Greece,Good/very good health,2022,77.1
Sweden,"Fair (not good, not bad) health",2004,21
Sweden,"Fair (not good, not bad) health",2005,18.4
Sweden,"Fair (not good, not bad) health",2006,18.2
Sweden,"Fair (not good, not bad) health",2007,17.2
Sweden,"Fair (not good, not bad) health",2008,17.3
Sweden,"Fair (not good, not bad) health",2009,15.9
Sweden,"Fair (not good, not bad) health",2010,16.2
Sweden,"Fair (not good, not bad) health",2011,16.1
Sweden,"Fair (not good, not bad) health",2012,15.5
Sweden,"Fair (not good, not bad) health",2013,15.6
Sweden,"Fair (not good, not bad) health",2014,16.8
Sweden,"Fair (not good, not bad) health",2015,17.8
Sweden,"Fair (not good, not bad) health",2016,19.4
Sweden,"Fair (not good, not bad) health",2017,17.8
Sweden,"Fair (not good, not bad) health",2018,18.2
Sweden,"Fair (not good, not bad) health",2019,18.9
Sweden,"Fair (not good, not bad) health",2020,18.2
Sweden,"Fair (not good, not bad) health",2021,21.2
Sweden,"Fair (not good, not bad) health",2022,25.6
Denmark,Bad/very bad health,2004,7.4
Denmark,Bad/very bad health,2005,7
Denmark,Bad/very bad health,2006,7.9
Denmark,Bad/very bad health,2007,7.9
Denmark,Bad/very bad health,2008,7.2
Denmark,Bad/very bad health,2009,7.4
Denmark,Bad/very bad health,2010,7.9
Denmark,Bad/very bad health,2011,7.9
Denmark,Bad/very bad health,2012,7.6
Denmark,Bad/very bad health,2013,7.1
Denmark,Bad/very bad health,2014,7.4
Denmark,Bad/very bad health,2015,7.6
Denmark,Bad/very bad health,2016,7.6
Denmark,Bad/very bad health,2017,7.9
Denmark,Bad/very bad health,2018,7.5
Denmark,Bad/very bad health,2019,8.3
Denmark,Bad/very bad health,2020,7.5
Denmark,Bad/very bad health,2021,7.7
Denmark,Bad/very bad health,2022,8
Poland,Good/very good health,2005,54.3
Poland,Good/very good health,2006,54.5
Poland,Good/very good health,2007,56.8
Poland,Good/very good health,2008,57.7
Poland,Good/very good health,2009,56.1
Poland,Good/very good health,2010,57.8
Poland,Good/very good health,2011,57.6
Poland,Good/very good health,2012,57.7
Poland,Good/very good health,2013,58.3
Poland,Good/very good health,2014,58.1
Poland,Good/very good health,2015,57.8
Poland,Good/very good health,2016,58.4
Poland,Good/very good health,2017,58.8
Poland,Good/very good health,2018,59.1
Poland,Good/very good health,2019,59.8
Poland,Good/very good health,2020,61.6
Poland,Good/very good health,2021,64.4
Poland,Good/very good health,2022,62.2
Netherlands,Bad/very bad health,2005,5.2
Netherlands,Bad/very bad health,2006,5.2
Netherlands,Bad/very bad health,2007,4.9
Netherlands,Bad/very bad health,2008,5.3
Netherlands,Bad/very bad health,2009,4.8
Netherlands,Bad/very bad health,2010,5
Netherlands,Bad/very bad health,2011,5.7
Netherlands,Bad/very bad health,2012,5.8
Netherlands,Bad/very bad health,2013,5.3
Netherlands,Bad/very bad health,2014,5.4
Netherlands,Bad/very bad health,2015,5.2
Netherlands,Bad/very bad health,2016,4.9
Netherlands,Bad/very bad health,2017,4.6
Netherlands,Bad/very bad health,2018,4.7
Netherlands,Bad/very bad health,2019,5.5
Netherlands,Bad/very bad health,2020,4.5
Netherlands,Bad/very bad health,2021,5.2
Netherlands,Bad/very bad health,2022,5.3
Austria,"Fair (not good, not bad) health",2004,20.3
Austria,"Fair (not good, not bad) health",2005,20
Austria,"Fair (not good, not bad) health",2006,20.1
Austria,"Fair (not good, not bad) health",2007,19.3
Austria,"Fair (not good, not bad) health",2008,21.1
Austria,"Fair (not good, not bad) health",2009,21.2
Austria,"Fair (not good, not bad) health",2010,21.3
Austria,"Fair (not good, not bad) health",2011,21.8
Austria,"Fair (not good, not bad) health",2012,21
Austria,"Fair (not good, not bad) health",2013,22.4
Austria,"Fair (not good, not bad) health",2014,21.6
Austria,"Fair (not good, not bad) health",2015,21.4
Austria,"Fair (not good, not bad) health",2016,21.7
Austria,"Fair (not good, not bad) health",2017,21.7
Austria,"Fair (not good, not bad) health",2018,20.2
Austria,"Fair (not good, not bad) health",2019,21
Austria,"Fair (not good, not bad) health",2020,18.5
Austria,"Fair (not good, not bad) health",2021,20.4
Austria,"Fair (not good, not bad) health",2022,21.4
Portugal,Good/very good health,2004,45.3
Portugal,Good/very good health,2005,45.8
Portugal,Good/very good health,2006,48
Portugal,Good/very good health,2007,45.8
Portugal,Good/very good health,2008,48.3
Portugal,Good/very good health,2009,47.7
Portugal,Good/very good health,2010,49.2
Portugal,Good/very good health,2011,49.7
Portugal,Good/very good health,2012,48
Portugal,Good/very good health,2013,46.1
Portugal,Good/very good health,2014,45.9
Portugal,Good/very good health,2015,46.4
Portugal,Good/very good health,2016,47.6
Portugal,Good/very good health,2017,48.8
Portugal,Good/very good health,2018,49.3
Portugal,Good/very good health,2019,50
Portugal,Good/very good health,2020,51.2
Portugal,Good/very good health,2021,50.1
Portugal,Good/very good health,2022,49.4
Italy,"Fair (not good, not bad) health",2000,31.4
Italy,"Fair (not good, not bad) health",2001,29.5
Italy,"Fair (not good, not bad) health",2002,31
Italy,"Fair (not good, not bad) health",2003,30.4
Italy,"Fair (not good, not bad) health",2004,32
Italy,"Fair (not good, not bad) health",2005,32
Italy,"Fair (not good, not bad) health",2006,32.6
Italy,"Fair (not good, not bad) health",2007,25.5
Italy,"Fair (not good, not bad) health",2008,25.5
Italy,"Fair (not good, not bad) health",2009,25.5
Italy,"Fair (not good, not bad) health",2010,24
Italy,"Fair (not good, not bad) health",2011,22.4
Italy,"Fair (not good, not bad) health",2012,19.4
Italy,"Fair (not good, not bad) health",2013,21.2
Italy,"Fair (not good, not bad) health",2014,20
Italy,"Fair (not good, not bad) health",2015,22
Italy,"Fair (not good, not bad) health",2016,21.4
Italy,"Fair (not good, not bad) health",2017,17.2
Italy,"Fair (not good, not bad) health",2018,19.9
Italy,"Fair (not good, not bad) health",2019,20.2
Italy,"Fair (not good, not bad) health",2021,18.4
Italy,"Fair (not good, not bad) health",2022,20.4
Luxembourg,Good/very good health,2004,72.3
Luxembourg,Good/very good health,2005,73.6
Luxembourg,Good/very good health,2006,74.2
Luxembourg,Good/very good health,2007,74.4
Luxembourg,Good/very good health,2008,74
Luxembourg,Good/very good health,2009,73.9
Luxembourg,Good/very good health,2010,75.3
Luxembourg,Good/very good health,2011,72.5
Luxembourg,Good/very good health,2012,73.8
Luxembourg,Good/very good health,2013,71.9
Luxembourg,Good/very good health,2014,72.8
Luxembourg,Good/very good health,2015,70.4
Luxembourg,Good/very good health,2016,69.1
Luxembourg,Good/very good health,2017,71
Luxembourg,Good/very good health,2018,68.6
Luxembourg,Good/very good health,2019,71.7
Luxembourg,Good/very good health,2020,73.5
Luxembourg,Good/very good health,2021,76.4
Luxembourg,Good/very good health,2022,74.4
Slovak Republic,Bad/very bad health,2005,17.7
